Rank,,energyUsed,meanCrossTrackError,lapTime,meanSpeed,maxCrossTrackError2,,controller.backwardRotate,controller.forwardRotate,sensor2.lf_position_y,sensor2.lf_position_x,sensor1.lf_position_y,sensor1.lf_position_x,controller.forwardSpeed
,Max,590,0.08,40,0.056,0.15,,,,,,,,
,Min,565,0,15,0.05,0.1,,,,,,,,
1,,578.5202862,0.010492334,24.74,0.053448877,0.112121586,,0.1,0.5,0.07,-0.03,0.07,0.01,0.4
1,,580.4706344,0.014654664,24.33,0.053661937,0.112121586,,0.1,0.5,0.07,-0.05,0.13,0.03,0.4
1,,578.919721,0.014880703,23.56,0.053512484,0.112121586,,0.1,0.5,0.07,-0.03,0.07,0.03,0.4
1,,575.4222665,0.015041681,23.3,0.053133275,0.112121586,,0.1,0.5,0.07,-0.01,0.07,0.01,0.4
1,,579.8618273,0.01639669,23.28,0.053587887,0.112121586,,0.1,0.5,0.07,-0.03,0.13,0.01,0.4
1,,574.7552021,0.017731012,22.96,0.053116763,0.112121586,,0.1,0.5,0.07,-0.01,0.07,0.03,0.4
1,,575.9745318,0.027350074,20.4,0.053218938,0.112121586,,0.1,0.5,0.13,-0.05,0.13,0.01,0.4
1,,574.2279637,0.031449799,19.91,0.053041111,0.112121586,,0.1,0.5,0.13,-0.03,0.13,0.01,0.4
1,,576.2467495,0.031816766,19.59,0.053262773,0.112121586,,0.1,0.5,0.13,-0.05,0.13,0.03,0.4
1,,579.5380657,0.035289059,19.04,0.053593702,0.112121586,,0.1,0.5,0.13,-0.01,0.13,0.01,0.4
1,,574.8851041,0.037823986,18.31,0.053146524,0.112121586,,0.1,0.5,0.13,-0.03,0.13,0.05,0.4
1,,570.8417728,0.042511834,17.83,0.052766428,0.112121586,,0.1,0.5,0.13,-0.01,0.13,0.05,0.4
2,,580.5473482,0.011036387,25.18,0.053674085,0.112121586,,0.1,0.5,0.07,-0.05,0.07,0.03,0.4
2,,580.2511673,0.015276572,25.11,0.053627143,0.112121586,,0.1,0.5,0.07,-0.05,0.13,0.01,0.4
2,,578.8741508,0.015764129,23.32,0.053505315,0.112121586,,0.1,0.5,0.07,-0.03,0.13,0.03,0.4
2,,579.0563808,0.017981215,23.29,0.053534184,0.112121586,,0.1,0.5,0.07,-0.03,0.13,0.05,0.4
2,,574.6397115,0.033206583,19.88,0.053107636,0.112121586,,0.1,0.5,0.13,-0.03,0.13,0.03,0.4
2,,576.4440397,0.036175416,19.35,0.053294168,0.112121586,,0.1,0.5,0.13,-0.05,0.13,0.05,0.4
2,,570.470473,0.038016578,18.9,0.052706887,0.112121586,,0.1,0.5,0.13,-0.01,0.13,0.03,0.4
3,,580.2373912,0.011420085,25.71,0.053624914,0.112121586,,0.1,0.5,0.07,-0.05,0.07,0.01,0.4
3,,580.6213455,0.015909476,24.85,0.053685839,0.112121586,,0.1,0.5,0.07,-0.05,0.07,0.05,0.4
3,,579.1830229,0.015947534,23.54,0.053554303,0.112121586,,0.1,0.5,0.07,-0.03,0.07,0.05,0.4
3,,575.1246243,0.021073972,23.47,0.053175401,0.112121586,,0.1,0.5,0.07,-0.01,0.07,0.05,0.4
3,,575.8294451,0.03527306,20.42,0.05325299,0.135642193,,0.1,0.5,0.07,-0.01,0.13,0.05,0.4
4,,580.3453135,0.014006675,30.72,0.053658845,0.112121586,,0.1,0.5,0.01,-0.01,0.01,0.01,0.4
4,,579.3777915,0.017429496,29.9,0.053578909,0.112121586,,0.1,0.5,0.01,-0.01,0.01,0.03,0.4
4,,581.2054165,0.017451214,26.83,0.053759486,0.112121586,,0.1,0.5,0.01,-0.01,0.07,0.05,0.4
4,,580.6182852,0.019026364,24.76,0.053685344,0.112121586,,0.1,0.5,0.07,-0.05,0.13,0.05,0.4
4,,581.5052633,0.019599397,24.31,0.053782547,0.112121586,,0.1,0.5,0.07,-0.05,0.01,0.05,0.4
4,,578.1934766,0.062184126,20.63,0.053516349,0.123685285,,0.1,0.5,0.07,-0.01,0.13,0.01,0.4
5,,584.8805882,0.019434024,34.52,0.054094252,0.112121586,,0.1,0.5,0.01,-0.03,0.07,0.05,0.4
5,,584.8996946,0.024804438,31.65,0.054085085,0.112121586,,0.1,0.5,0.01,-0.05,0.07,0.05,0.4
5,,585.019422,0.028045484,30.9,0.054101819,0.112121586,,0.1,0.5,0.01,-0.05,0.01,0.05,0.4
6,,577.7799184,0.032023443,36.08,0.053433813,0.121016785,,0.1,0.5,0.13,-0.05,0.07,0.03,0.4
